County,RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day)
"2000_Franklin County, Columbus, OH",22.6009,23.7945,30.7049,40.3149,51.0812,59.9871,63.6526,62.1615,54.8601,43.6943,34.1373,25.8039,38.7209,41.563,50.3359,64.2187,74.4074,82.7674,86.0402,85.0358,79.0036,67.5983,53.0674,41.3639,0.0911485,0.0906391,0.0950935,0.115686,0.138645,0.12653,0.12745,0.101326,0.101139,0.0744142,0.112082,0.0860014
"2000_Mecklenburg County, Charlotte, NC",32.3901,33.7542,39.5133,47.7967,57.4307,65.5092,69.1279,68.4665,62.403,50.887,39.9585,33.6844,53.4751,56.5527,63.1842,74.1228,81.5087,87.5795,91.083,89.9532,83.4402,73.9646,63.7104,54.9752,0.117119,0.138439,0.143802,0.0943756,0.108874,0.131427,0.135265,0.124642,0.138542,0.119224,0.110015,0.115589
"2000_Wayne County, Detroit, MI",20.1463,20.8767,27.5487,38.0123,48.8824,58.5235,62.9416,61.9795,54.2039,43.6237,33.4818,24.3301,33.3879,35.8786,44.0674,59.0569,70.5532,80.2521,84.4742,82.7929,75.561,63.7424,49.0121,37.2272,0.0659376,0.081633,0.0746192,0.107419,0.0933501,0.110698,0.093104,0.0860585,0.0991339,0.0706292,0.0969018,0.0752973
"2000_Shelby County, Memphis, TN",32.7273,34.2179,41.7307,51.5082,60.3288,68.437,72.0989,70.7867,63.6422,51.9393,41.5446,34.4071,50.2392,53.4809,61.8644,73.9612,81.5939,89.3378,92.5611,91.6041,85.7283,75.314,62.0377,52.6755,0.132662,0.187993,0.173958,0.148934,0.150334,0.129231,0.117208,0.0930976,0.0945841,0.0901401,0.169364,0.180425
"2000_King County, Seattle Washington",30.0908,31.36,32.8239,36.3292,41.5824,46.3708,50.1471,50.5649,47.008,40.5363,34.7255,30.2799,40.1707,43.9176,47.7156,53.9727,60.9089,65.7262,72.5347,72.7002,67.6413,55.9912,45.6512,40.6275,0.447158,0.317398,0.286292,0.21255,0.141325,0.1128,0.0529447,0.0685915,0.120421,0.237899,0.382896,0.371272
"2000_Denver County, Denver, CO",19.1229,21.8492,27.8993,35.7946,45.2442,53.7777,60.0059,58.4177,50.0411,37.7865,25.9921,19.5446,45.605,48.1468,55.2423,64.0028,73.0885,83.9005,89.973,86.8829,79.8002,67.6214,52.816,45.7872,0.0135271,0.0214569,0.0388802,0.0530164,0.0899198,0.0529497,0.0636854,0.0543643,0.0414745,0.0316757,0.0240628,0.0209462
"2000_District of Columbia, Washington DC",28.4449,28.6798,35.1122,44.3088,54.2883,63.549,68.5668,67.4237,60.3763,48.8331,38.4489,30.724,45.9559,48.3671,55.777,67.8845,76.626,85.0125,89.7518,87.5083,80.8833,70.1382,58.7421,48.0943,0.0949595,0.0907326,0.118971,0.110882,0.131347,0.119643,0.118001,0.128733,0.137985,0.105728,0.116981,0.106671
"2000_Suffolk County, Boston, MA",23.5567,23.8284,30.2512,39.2966,48.4605,58.2139,64.6067,63.4108,55.6773,45.7379,36.5745,27.171,38.155,40.4696,46.0247,57.2312,68.1275,78.1049,83.4022,80.9079,73.6895,63.7171,52.378,41.689,0.136755,0.13181,0.15688,0.147162,0.107253,0.110649,0.110194,0.139542,0.115827,0.123366,0.154614,0.138437
"2000_Jefferson County, Louisville, KY",27.4074,28.3791,35.1413,44.9003,54.7476,63.4074,67.2323,66.1693,59.2217,47.4273,37.0824,29.2845,44.6013,47.7657,56.2358,69.3101,77.7846,85.2879,89.199,88.6156,82.5054,71.0922,57.2963,47.0621,0.112134,0.142114,0.149635,0.117775,0.152282,0.142837,0.127358,0.0939297,0.0979897,0.0829591,0.132817,0.122422
"2000_Clark County, NV",32.7037,36.3877,41.8145,48.4733,56.9874,64.8482,72.0611,70.9054,63.4246,52.1545,39.5612,33.0786,54.9863,59.2976,66.6288,74.6389,85.2821,95.1774,100.344,97.8712,91.2928,78.6818,64.1227,54.7095,0.0229042,0.0348742,0.035159,0.016833,0.00784381,0.00376692,0.0232021,0.0272576,0.0187281,0.0182518,0.0167903,0.0291214
